Code,Site,duration_months,date_deployed,date_collected,tea_type,Initial_wt_g,Final_wt_g,total_mass_loss,percent_mass_loss
RT 137,W2,4,5/2/24,8/29/24,Rooibos,2.112,1.45535,0.65665,31.09
RT 138,W2,6,5/2/24,11/1/24,Rooibos,2.116,1.04028,1.07572,50.84
RT 139,W2,6,5/2/24,11/1/24,Rooibos,2.08,1.23203,0.84797,40.77
RT 140,W2,2,5/2/24,7/1/24,Rooibos,2.106,1.433,0.673,31.96
RT 141,W2,6,5/2/24,11/1/24,Rooibos,2.115,1.19022,0.92478,43.72
RT 142,W2,4,5/2/24,8/29/24,Rooibos,2.11,1.19732,0.91268,43.25
RT 143,W2,6,5/2/24,11/1/24,Rooibos,2.155,1.02381,1.13119,52.49
RT 144,W2,2,5/2/24,7/1/24,Rooibos,2.15,1.685,0.465,21.63
RT 145,W2,4,5/2/24,8/29/24,Rooibos,2.062,1.29034,0.77166,37.42
RT 146,W2,2,5/2/24,7/1/24,Rooibos,2.134,1.616,0.518,24.27
RT 147,NA,NA,NA,NA,Rooibos,2.082,NA,#VALUE!,#VALUE!
RT 148,W2,6,5/2/24,11/1/24,Rooibos,2.063,0.88309,1.17991,57.19
